,stock,sample_mean,interval_left,interval_right
140,RAL,1.0006686845042758,0.9999638260754619,1.001374039776467
254,GMC,1.000681444272226,0.9999628163149451,1.0014005886748516
177,NNC,1.0005604792006222,0.9999440201136625,1.0011773183306627
367,SFC,1.0008798518657869,0.9999416242476578,1.001818959806369
375,VCF,1.0009155451642346,0.9999286930238062,1.0019033712512595
64,TMS,1.0006414969761481,0.999926267535083,1.0013572380080873
275,DHA,1.0004848055225277,0.9999217994617581,1.0010481285839112
61,TLG,1.000725978345377,0.9999217060575076,1.0015308975378083
286,DRC,1.0005857320663434,0.9999215417818347,1.0012503635342005
309,D2D,1.000726862532454,0.9999207900068884,1.0015335848624067
159,MBB,1.0005166536848877,0.9999129091891246,1.001120762719815
59,TIP,1.0011315212052603,0.9999087140413735,1.0023558237630157
151,PHR,1.000573814474103,0.9998994043155781,1.0012486795074482
176,NLG,1.0006124538386094,0.9998992323973083,1.0013261840159988
107,SJD,1.000405637970332,0.9998945170643712,1.0009170201484332
14,VSH,1.000455439662829,0.9998894827189909,1.0010217169493325
300,CRE,1.000984435664702,0.9998879519838453,1.0020821217567488
316,C32,1.0013885960825237,0.9998873828849165,1.0028920631750227
244,FPT,1.000429161791061,0.9998842216667152,1.0009743989095314
75,TCL,1.0005054898052836,0.9998788224046028,1.0011325499655894
298,CNG,1.000423107157842,0.9998724816661032,1.0009740358766799
5,VPB,1.0011337955386008,0.9998717223125647,1.0023974617978155
264,HAX,1.0007487030762643,0.9998684176682108,1.0016297634886941
218,HDG,1.0006626419652949,0.999863307080604,1.0014626158735935
39,VCI,1.0011761325377424,0.99984629547823,1.0025077383357228
167,MSN,1.000493498300737,0.9998419227925799,1.0011454984266592
249,GAS,1.000583577812787,0.9998381442950696,1.0013295670915865
325,CLC,1.0004994770649625,0.9998239538872719,1.0011754566545663
112,SMB,1.0007277745007002,0.9998222387750142,1.001634130367126
116,SBA,1.000366712376344,0.9998189610861228,1.0009147637523683
202,LGC,1.000938769824216,0.9998177970295992,1.0020609994278333
198,LBM,1.0005861893824286,0.9998058202219973,1.0013671676371603
349,BMC,1.0005582368721617,0.9998052546672878,1.001311786169675
346,BIC,1.0005987100889933,0.9997964103855844,1.0014016536082901
63,TMP,1.0006207918830232,0.9997865255716994,1.001455754343235
243,FMC,1.0004665514638813,0.999785363053865,1.0011482039911643
66,TN1,1.0016245074240613,0.9997832583466426,1.0034691474346014
347,BID,1.0006541747827866,0.9997809380790691,1.0015281741959252
214,IMP,1.0003877126357132,0.9997802129923219,1.000995581416053
76,TCM,1.000533111522835,0.9997665092250154,1.0013003016369872
302,CSV,1.0005852586989996,0.9997651553633368,1.00140603476213
381,S4A,1.0008961445507734,0.9997644508083626,1.002029119325657
22,VHC,1.000555510679794,0.9997637454197909,1.0013479029801655
315,BWE,1.0008242786129387,0.9997578414859591,1.0018918533035348
67,TNA,1.0005146289091615,0.9997574781917458,1.001272353042852
305,CTG,1.0003913557785309,0.9997568609295977,1.0010262533090852
184,OPC,1.0005150749070304,0.999755273624546,1.0012754536288182
114,SAM,1.0003017049606842,0.9997507937175615,1.0008529197826581
227,HPX,1.000809930005494,0.9997478281479503,1.0018731602079305
256,GSP,1.0004599065434703,0.9997441026245425,1.0011762229687973
30,VJC,1.0006323203360996,0.9997426930750093,1.001522739237548
192,KDH,1.0003723250826553,0.9997419476136344,1.0010031000299995
217,HDC,1.000478325774303,0.9997415695520332,1.0012156249466189
79,TDC,1.0004689661164938,0.9997408334726812,1.0011976290748932
369,PGI,1.0006738937077475,0.9997404720592682,1.0016081868583797
321,CHP,1.0003035614947589,0.9997364562270947,1.0008709884555878
307,CTS,1.0010198522263603,0.999735574706135,1.0023057795515846
232,HTI,1.000381662372836,0.9997339568747214,1.0010297875050036
172,NCT,1.0003526173343442,0.9997273128426984,1.0009783129383483
304,CTF,1.0011745521463156,0.9997271592972645,1.0026240405131688
99,SFI,1.0004705129637013,0.9997249558272747,1.001216626108498
234,EIB,1.0002636463623518,0.9997184422078437,1.0008091478481458
272,DCM,1.0004940093320525,0.9997174920334251,1.0012711297801895
171,NBB,1.000485917713387,0.9997102038062358,1.001262233527034
255,GMD,1.000269652430664,0.9997094199718319,1.000830198841132
90,SSI,1.000377301709576,0.9996977485619878,1.0010573167892647
398,KHA,1.0004033458526618,0.9996961065496544,1.0011110854951508
359,HAP,1.0003278133133913,0.9996938424707632,1.000962186198137
175,NKG,1.0005698908195308,0.9996850765624177,1.0014554882195437
117,SBT,1.0003301830888158,0.9996685585920818,1.00099224547766
88,SRF,1.0005182713477718,0.9996636632313007,1.0013736100650033
71,TBC,1.0003407762060748,0.9996597422510053,1.0010222741262598
271,DCL,1.0004715640822524,0.9996595649584052,1.0012842227732164
294,DXG,1.0005059762828434,0.9996551707226592,1.0013575059628268
223,HMC,1.000322161093176,0.9996479169667027,1.0009968599849066
284,DPR,1.0002418835780622,0.9996473586571036,1.0008367620835907
69,SZL,1.0003779422879615,0.999646652646351,1.0011097669031435
329,ADS,1.0006507574435726,0.9996449916276118,1.0016575351836514
341,BCE,1.000274972530856,0.9996443099075447,1.0009060330310322
327,ABS,1.0031354647198456,0.9996389994868852,1.0066441596368536
238,FCN,1.0004052840099706,0.9996311875619578,1.0011799799043775
92,STB,1.0002427150666449,0.9996305306076266,1.000855274433992
301,CSM,1.000291794105735,0.9996301341399758,1.0009538920273893
148,PET,1.000285934156838,0.9996219637109024,1.0009503456262496
212,IJC,1.0004560883497402,0.9996126831262504,1.001300205181219
265,HBC,1.000328945564584,0.9996086079802637,1.0010498022383072
368,PGD,1.0003536614154516,0.9996084555915354,1.0010994227886096
386,CLW,1.0010442966845843,0.9995951830361259,1.0024955111138403
372,BTP,1.0002932734377081,0.9995949537404666,1.0009920809829502
344,BFC,1.0005313854437867,0.9995937965174271,1.001469853800369
370,HTV,1.0004082885465557,0.9995880034381993,1.0012292467999044
195,KOS,1.0007301973357494,0.9995870027816969,1.0018746993235568
93,STG,1.000819233100099,0.9995852502552051,1.0020547392904615
193,KHP,1.000186449060042,0.9995788480946015,1.0007944193599616
104,SHI,1.0003875106433278,0.9995582702409437,1.0012174389892419
115,SAV,1.000281977284414,0.9995548252465214,1.0010096583078838
281,DMC,1.0002029419659604,0.9995444197342421,1.0008618980468615
374,COM,1.0006578673705266,0.9995436880688275,1.0017732886344644
261,HAH,1.0003636398113154,0.9995396331694631,1.0011883257528407
149,PGC,1.0001796230996998,0.9995335361660044,1.000826127656527
303,CTD,1.0002270731786205,0.9995315753701873,1.0009230549309465
222,HII,1.000842637263438,0.9995282368273473,1.002158766163461
130,PPC,1.0002006644707433,0.9995263458172209,1.0008754380453873
70,TAC,1.000343666650342,0.9995256127487856,1.0011623900817006
35,UIC,1.000267661684473,0.9995215119081492,1.001014368466806
150,PHC,1.0006095791440122,0.9995209734985621,1.001699370419662
21,VGC,1.0009805446165485,0.9995062036348766,1.002457060353437
323,CII,1.0001481925559659,0.999504896077724,1.0007919030695573
317,C47,1.0004573347838701,0.9995018368223693,1.0014137461767632
356,ACC,1.0005340957614068,0.9994907009352857,1.0015785798150338
179,NTL,1.000202691065276,0.9994876307277338,1.0009182629762188
154,LHG,1.0004368456337622,0.9994829236132692,1.0013916780922423
279,DIG,1.0002547229248198,0.9994821382132428,1.0010279048327986
9,VPI,1.0000685362211714,0.999469871545759,1.000667559486076
169,NAF,1.0002522118806116,0.9994634490603724,1.0010415971816302
209,IBC,1.0001050728465561,0.9994595374821591,1.0007510251522012
338,ASM,1.0002827894382107,0.9994577441738742,1.0011085157715491
84,TDW,1.0011915797155793,0.9994512463341692,1.002934943520224
20,VDS,1.0010911997017753,0.9994477577484626,1.0027373440489178
178,NT2,1.0005537566590903,0.9994473361344954,1.001661402026989
163,MHC,1.0002225761186974,0.9994433595492923,1.0010024002047329
153,PJT,1.0002425476454782,0.9994417481671711,1.0010439887617852
360,HAS,1.0001989067667112,0.9994385976703613,1.0009597942576953
110,SKG,1.0002722267388777,0.9994350966891006,1.0011100579714758
105,SHP,1.0005014714561993,0.9994305282627355,1.001573562222497
141,RDP,1.000413197050641,0.9994172166577902,1.001410169998879
350,BMI,1.0001754563102283,0.9994151186776521,1.0009363723944456
94,STK,1.000664982561103,0.999400532263262,1.0019310326525244
314,BVH,1.000178470912066,0.999396549264575,1.0009610043301933
161,MCP,1.0004539231973653,0.9993960280551063,1.0015129381580952
331,AGM,1.0005208326024195,0.9993950688170378,1.0016478644990217
313,BTT,1.0007238092701762,0.9993789757668189,1.0020704524745536
82,TDM,1.0005913803393403,0.9993746784025107,1.0018095635660553
3,VNS,1.0001235920466125,0.9993693798537381,1.0008783734344646
296,CMG,1.000185807245736,0.9993690316611694,1.0010032503738566
43,TPB,1.0005431518273615,0.9993658585695437,1.0017218319840846
87,SRC,1.0002111530520243,0.9993655099691852,1.001057511701107
199,LCG,1.0001627033703735,0.9993592373170531,1.0009668153953073
72,TCB,1.0006016710791406,0.9993558722434694,1.0018490229298909
283,DPM,0.9999229987204974,0.9993503232715176,1.0004960023398517
31,VMD,1.0004031376572609,0.999342387712703,1.0014650135326895
113,SAB,1.0002934752414545,0.9993401098871059,1.001247750101476
213,ILB,1.0009345738267643,0.9993354537706823,1.002536252768298
95,SVC,1.0001408144803898,0.9993268057025931,1.0009554863148429
334,ANV,1.0001426397778987,0.9993238439913946,1.0009621064445624
55,TYA,1.0000189102554053,0.9993210007761748,1.0007173071432272
357,ACL,1.0000888384552549,0.9993209274058766,1.0008573395927254
62,TLH,1.0001333724621086,0.9993198224644375,1.0009475847738698
385,HRC,1.0002579980419921,0.9993159527082727,1.001200931432595
